,Home,winningTeam,winningScore,losingTeam,losingScore,Pace_Home,Pace_AWAY,FG_PpercentHome,FG_PpercentAWAY,TOV_Home,TOV_AWAY,ORB_Home,ORB_AWAY,FT_Rate_Home,FT_Rate_AWAY,Off_Rat_Home,Off_Rat_AWAY,date
0,Dallas,Chicago,118,Dallas,108,101.2,101.2,.500,.535,12.9,14.0,22.9,26.8,.213,.318,106.8,116.6,2021-01-03
0,Boston,Boston,122,Detroit,120,95.3,95.3,.649,.570,15.5,8.5,32.4,21.6,.103,.256,128.0,125.9,2021-01-03
0,Portland,Golden State,137,Portland,122,107.2,107.2,.490,.631,9.6,12.7,22.2,28.2,.265,.295,113.8,127.8,2021-01-03
0,LA Lakers,LA Lakers,108,Memphis,94,93.3,93.3,.528,.458,9.3,10.0,25.0,27.5,.157,.074,115.8,100.8,2021-01-03
0,Denver,Denver,124,Minnesota,109,97.2,97.2,.592,.576,12.9,13.2,32.5,23.1,.163,.129,127.6,112.2,2021-01-03
0,LA Clippers,LA Clippers,112,Phoenix,107,91.5,91.5,.584,.560,9.9,13.0,19.5,19.4,.181,.307,122.5,117.0,2021-01-03
0,Utah,Utah,130,San Antonio,109,105.8,105.8,.669,.448,16.3,5.8,22.5,22.6,.124,.143,122.9,103.0,2021-01-03
0,New York,New York,113,Atlanta,108,97.4,97.4,.547,.517,13.5,11.0,26.8,22.7,.235,.207,116.1,110.9,2021-01-04
0,Sacramento,Golden State,137,Sacramento,106,109.0,109.0,.433,.644,11.6,9.6,19.6,6.8,.311,.124,97.2,125.6,2021-01-04
0,Dallas,Dallas,113,Houston,100,94.5,94.5,.573,.461,14.2,11.4,26.3,14.6,.232,.377,119.6,105.8,2021-01-04
0,Oklahoma City,Miami,118,Oklahoma City,90,98.1,98.1,.449,.667,14.2,13.6,12.2,11.1,.241,.123,91.7,120.2,2021-01-04
0,Detroit,Milwaukee,125,Detroit,115,102.7,102.7,.526,.659,7.2,17.1,12.5,21.9,.122,.153,112.0,121.7,2021-01-04
0,Indiana,Indiana,118,New Orleans,116,98.2,98.2,.586,.480,12.4,13.9,10.9,30.2,.097,.188,108.9,107.0,2021-01-04
0,Cleveland,Orlando,103,Cleveland,83,91.5,91.5,.447,.517,13.4,16.9,20.0,40.9,.082,.136,90.7,112.6,2021-01-04
0,Charlotte,Philadelphia,118,Charlotte,101,101.2,101.2,.494,.542,14.3,8.7,16.3,26.4,.186,.158,99.8,116.6,2021-01-04
0,Boston,Boston,126,Toronto,114,104.7,104.7,.577,.472,16.1,8.6,29.3,15.4,.345,.322,120.3,108.9,2021-01-04
0,Utah,Brooklyn,130,Utah,96,102.3,102.3,.448,.634,13.3,10.7,17.3,20.0,.221,.129,93.8,127.1,2021-01-05
0,Minnesota,Denver,123,Minnesota,116,102.3,102.3,.522,.570,12.0,12.4,23.8,23.8,.231,.418,113.4,120.2,2021-01-05
0,San Antonio,San Antonio,116,LA Clippers,113,97.0,97.0,.563,.587,9.0,12.4,22.4,17.5,.083,.140,119.6,116.5,2021-01-05
0,LA Lakers,LA Lakers,94,Memphis,92,98.3,98.3,.489,.471,15.6,12.3,21.4,10.4,.103,.115,95.6,93.6,2021-01-05
0,Chicago,Chicago,111,Portland,108,100.3,100.3,.527,.516,13.2,9.8,23.4,19.6,.165,.117,110.6,107.6,2021-01-05
0,Charlotte,Charlotte,102,Atlanta,94,100.2,100.2,.441,.411,8.3,11.1,15.1,22.6,.318,.156,101.8,93.9,2021-01-06
0,LA Clippers,LA Clippers,108,Golden State,101,96.3,96.3,.512,.500,17.1,12.1,30.8,18.2,.309,.174,112.1,104.9,2021-01-06
0,Houston,Indiana,114,Houston,107,100.5,100.5,.531,.522,14.8,8.2,13.9,17.1,.259,.236,106.5,113.4,2021-01-06
0,Boston,Boston,107,Miami,105,92.3,92.3,.485,.512,6.3,8.0,30.8,14.0,.111,.272,115.9,113.8,2021-01-06
0,Detroit,Milwaukee,130,Detroit,115,101.5,101.5,.459,.650,7.6,12.4,28.3,22.0,.268,.144,113.4,128.1,2021-01-06
0,Oklahoma City,Oklahoma City,111,New Orleans,110,103.1,103.1,.569,.517,13.0,13.1,8.5,20.9,.138,.202,107.6,106.7,2021-01-06
0,Utah,New York,112,Utah,100,96.4,96.4,.516,.563,12.7,11.2,21.3,25.6,.066,.161,103.7,116.1,2021-01-06
